title,authors,url,year
Thinking green: Insecticidal effect of biorational solutions againstTriatoma pallidipennisStal (Hemiptera: Triatominae),"Reyna Vargas-Abasolo, José D. Rivera-Duarte, Alex Córdoba-Aguilar",https://www.sciencedirect.com/science/article/pii/S0001706X24000366/pdfft?md5=3c5cd2689a9f6a9e520dc292d36f565c&pid=1-s2.0-S0001706X24000366-main.pdf,2024
Seroprevalence ofTrypanosoma cruziin Eight Blood Banks inMexico,"Saúl González-Guzmán, Patricia González-Cano, Vladimir Paredes-Cervantes",https://www.sciencedirect.com/science/article/pii/S018844092200100X/pdfft?md5=7ec6b6927e73157e9b3cee7df0ecdd2c&pid=1-s2.0-S018844092200100X-main.pdf,2022
"Exposure toTrypanosoma cruziandLeishmaniaparasites in dogs from a rural locality of Yucatan,Mexico. A serological survey","Enrique Reyes-Novelo, Carlos Sauri-Arceo, Francisco J. Escobedo-Ortegón",No URL found,2023
Trypanosoma cruziandLeishmaniaspp. in rodents in a peri-urban area of CentralMexico,"Diana Orduña-Mayares, Norma Hernández-Camacho, Brenda Camacho-Macías",No URL found,2022
Combined use of real-time PCR and serological techniques for improved surveillance of chronic and acute American trypanosomiasis in dogs and their owners from an endemic rural area of NeotropicalMexico,"José I. Chan-Pérez, Juan F. J. Torres-Acosta, Matilde Jiménez-Coello",https://www.sciencedirect.com/science/article/pii/S2667114X22000073/pdfft?md5=14547c16313c1d9dcb11d874b9192a2f&pid=1-s2.0-S2667114X22000073-main.pdf,2022
Heterorhabditis indica (Nematoda: Rhabditida) a possible new biological control agent against the vector of Chagas disease,"Selene Smith-Ávila, Carlos N. Ibarra-Cerdeña, Víctor Manuel Vidal-Martínez",https://www.sciencedirect.com/science/article/pii/S0001706X2400144X/pdfft?md5=db891d0a5452eef18b97ce24ef98a06d&pid=1-s2.0-S0001706X2400144X-main.pdf,2024
Phylogenetic diversity of two commonTrypanosoma cruzilineages in the Southwestern United States,"Carlos A. Flores-López, Elizabeth A. Mitchell, Carlos A. Machado",https://www.sciencedirect.com/science/article/pii/S156713482200048X/pdfft?md5=af07aab57dc2a981b38a993ebd168406&pid=1-s2.0-S156713482200048X-main.pdf,2022
Acute toxicity of two insecticides on two species of Chagas disease vectors,"Reyna Vargas-Abasolo, Ana E. Gutiérrez-Cabrera, Jose D. Rivera",https://www.sciencedirect.com/science/article/pii/S0001706X23000931/pdfft?md5=5e63b30741aa226d9508b482d5209635&pid=1-s2.0-S0001706X23000931-main.pdf,2023
"Molecular data confirmTriatoma pallidipennisStål, 1872 (Hemiptera: Reduviidae: Triatominae) as a novel cryptic species complex","Daryl D. Cruz, Elizabeth Arellano",https://www.sciencedirect.com/science/article/pii/S0001706X22000808/pdfft?md5=cacb34dc2de54ae6ac12e04e37b8af24&pid=1-s2.0-S0001706X22000808-main.pdf,2022
Evaluation of the effectiveness of fluralaner against adult stages ofRhodnius prolixusin dogs,"Antonio Ortega-Pacheco, Anabel Poot-Ramos, Matilde Jiménez-Coello",https://www.sciencedirect.com/science/article/pii/S1383576921002269/pdfft?md5=0013b396e0809e1747591ed530c52071&pid=1-s2.0-S1383576921002269-main.pdf,2022
